id,group,message,historical_reply,reply_id,created_at,intent,escalate,label_reason,annotator,label_source
2290330,7090cea00952d575dbdf7ed83be02dfc6b02d6850f8a982af93453070573365d,[USER] what is the purpose of getting prime when you can't deliver next day despite an office address was given?,"[USER] That's certainly not what we thrive to deliver. Kindly elaborate your concern, we would like to help you. ^CB",2290328,Fri Nov 10 11:45:36 +0000 2017,delivery,1,Prime next-day promise missed; needs order lookup,CB,human
990233,4f853112ea937b4d6dbe216cba3a34fc004259e0ffeb68d21023bc28066288e8,Thanks for the empty package in today’s post [USER] Just what I was looking for. #WTF? #AmazonFail [URL],[USER] Sorry to hear it. Please get in touch via [URL] and we'll be happy to help. ^BM,990232,Sat Oct 14 11:29:50 +0000 2017,delivery,1,Empty package; missing-contents delivery issue,CB,human
382620,f1c434e37a3d820c837c76faf9b91b8a09c93ae0bae7cd91b4a774c83351e9a5,[USER] Please deliver my MotoG5s plus.,[USER] We ship the products to meet the estimates. Could you please tell us if we've missed the estimated delivery date? ^HN,382618,Mon Oct 09 09:13:59 +0000 2017,delivery,1,Asks to deliver a specific device,CB,human
1739854,1e1a986e44638997633e8c01c89d8ce771c0e7a38a166dd4e9a3f30440a8006e,[USER] Disgusted by ur services! Ur customer care agent CANCELLED my order WITHOUT my consent. Moreover order ws accepted WITHOUT stock!,[USER] your details here: [URL] and we'll sort this for you at the earliest. 2/2 ^KH [USER] I'm sorry about the unpleasant experience you've had. We'd like to understand more about this and assist. Kindly share1/2 ^KH,"1739853,1739855",Tue Nov 07 16:37:02 +0000 2017,refund_return,1,Order cancelled without consent,CB,human
17686,bf679b36f9a0280836b31849b0db768342a20e6c222549b0dab8ae34fe218848,[USER] hey I started a Amazon prime trial..i was charged $1..wats that about ?,"[USER] When you sign up for a Prime free trial, we send an authorization to your bank. Here's more info: [URL] ^JP",17684,Wed Nov 01 04:15:40 +0000 2017,payment,1,Unexpected $1 Prime-trial charge,CB,human
2825607,b6c38b810ca9aab90887c4538a47304b59bad81dc32f0e09c468e49a073f72ec,[USER] I placed a per-order for Xanathar's Guide To Everything back in July and I gotta I am beyond annoyed that the pre-order was never fulfilled. The book hasn't even been dispatched. What's going on? [USER] [USER] [USER],[USER] I'm sorry to hear that. Has the book already been released in the UK? Was there an estimated delivery date given to you in your confirmation email?^MA,2825605,Mon Nov 27 09:57:17 +0000 2017,delivery,1,Pre-order never dispatched,CB,human
1622634,60150c808877accbb68522f9c3dd4c636c98e2cd3c8a2837a222966d87859565,[USER] you say next day delivery now I find it’s Monday !!amazon prime ??,[USER] I'm sorry for any disappointment. One-Day Delivery starts once the item is available to ship: [URL] ^MG,1622632,Sun Nov 05 17:11:23 +0000 2017,delivery,1,Next-day delivery slipped to Monday,CB,human
954937,045d0d15b7837557b6e0cf2fbadc173ccb67607d8327c23aaff73337afd20aaa,"I just figured? Since ppl already bought the items I want in the quantity I need, I'll be good for a while. [USER] is this a problem? [URL]","[USER] Just to clarify, if you delete something from your wishlist, it will no longer be visible unless you re-add it. ^AC",954935,Sat Oct 21 21:17:12 +0000 2017,other,1,Wishlist/URL context is not interpretable from text alone,CB,human
259408,c2541d659478f648616996a923257f3dd7883d5afc661834f85c50bfaf155e8e,[USER] just bought two Disney blu-rays from the 2 for £14 deal but seem to have been charged full price at checkout.,"[USER] I'm sorry! We don't have access to your order details via Twitter, please reach out to us here: [URL] ^ME",259407,Thu Oct 05 20:24:02 +0000 2017,payment,1,Promo price not applied at checkout,CB,human
2652457,c7d4ab7e2a7762d819ac81a130afd80519d2affe6f3d3e97144a47a8dcd144e6,[USER] I got this message from Amazon but the amount 5000is not credited in my Amazon pay balance wallet [URL],[USER] Sorry to hear about your amazon account balance. Have you reported it to the support team here: [URL] ^HR,2652456,Sun Nov 19 06:56:22 +0000 2017,payment,1,Amazon Pay credit missing,CB,human
