id,group,message,historical_reply,reply_id,created_at,intent,escalate,label_reason,annotator
314474,c217b2d2aff56b808a66792afedf191b4eafd6d0f815eca5a6fefef86a075267,[USER] Last week I cancelled prime membership (I have confirmation) but today I have been charged £7.99 to renew plus a odd £1 charge!,"[USER] Hi, can you see the subscription here? [URL] The £1 is a card authorisation that will drop in a few days. ^AT",314473,Sat Oct 07 06:30:31 +0000 2017,,,,
1187715,ca491ad62c8f682aa204b7bbd0b035acf441fd418bd5e81f8caaf52410a1fe03,I’m thankful that #Amazon customer service is quick to credit and/or rectify the situation when we call in & report it. Thanks [USER] (3/3),[USER] I'm so sorry you didn't receive your order as expected. We appreciate you calling to report this to us. ^MB,1187714,Wed Oct 25 00:07:11 +0000 2017,,,,
504968,b974cab7c5fc44a64f08ec35566f6bbdc5f7859d3899740d2e77a850c2f23443,Not so funny now [USER] totally useless on phone.,"[USER] I'm sorry for the poor experience! Without providing personal or account information, could you tell us more about what's going on? We'd like to help, if possible. ^ML",504963,Fri Dec 01 20:36:57 +0000 2017,,,,
1755046,f5170d133dbed455371cf2c92fe21d6841041e72c5dc8fc989fbfd2cb627476a,Amazonプライム加入してKindle FIRE買ったら家でなくなった,"[USER] リプライ失礼いたします、Amazon公式です。プライムのご登録、ならびにkindle端末のご購入誠にありがとうございます！
末永くご愛用いただければ幸いに存じます( ･ᴗ･ ) HM",1755044,Sun Nov 26 05:58:16 +0000 2017,,,,
848212,97481b80d6fe19fb27b6a23d0e2cece5486f8a3af80e3dc89c44b57d4a301c68,jo [USER] - Benachrichtigungen in Berlin bitte weiter außen an der Haustür ankleben. was soll da schon schiefgehen? [URL],[USER] Melde dich bitte mal direkt bei uns im Amazon.de Social Media Team über den folgenden Link: [URL] ^SK,848211,Fri Oct 20 14:42:47 +0000 2017,,,,
1625061,0cf7d9ae7ebffba48b353d56ab9d2acc0cd262d9002f588e392d21ac93e7718f,"Both my orders #theboywithabrokenheart & #ahundredlittleflames delayed by 15-20 days....:(

[USER] 
[USER] 
[USER]",[USER] team here : [URL] so that we can assist you accordingly. (2/2) ^SS [USER] I'm sorry for the delay in the delivery of your orders. Please report this to our support (1/2)^SS,"1625060,1625062",Sun Nov 05 17:40:53 +0000 2017,,,,
2484002,0cf7d9ae7ebffba48b353d56ab9d2acc0cd262d9002f588e392d21ac93e7718f,"[USER] Order id is [ORDER_ID]

Want the product before the delivery date.

Kindly Help.","[USER] we consider it to be personal information. Our page is visible to the public. (2/2) ^GD [USER] All the packages are shipped on time so that it reaches you by estimated delivery date. We cannot assure the delivery before the delivery date provided to you. Appreciate your understanding. Please don't provide your order details, (1/2) ^GD","2484001,2484003",Wed Nov 15 15:17:43 +0000 2017,,,,
2724958,0cf7d9ae7ebffba48b353d56ab9d2acc0cd262d9002f588e392d21ac93e7718f,"[USER] it's 18:14 in the evening and my product is out for delivery since morning....

It's urgent....Waiting for the product since few days already..Will I get it today????

[USER]",[USER] As the package is out for delivery. Kindly wait until the end of the day to receive the package. ^SY,2724957,Mon Nov 20 12:45:08 +0000 2017,,,,
2725845,0cf7d9ae7ebffba48b353d56ab9d2acc0cd262d9002f588e392d21ac93e7718f,"[USER] 

Kindly cancel all my orders with amazon. I will not receive it anymore.

Just received a message that my order will not be delivered today.

Really pissed off since few days.

Daily receiving msgs """"it is out for delivery""""

[USER]","[USER] Sorry to learn your order isn't delivered yet. We'd like to check this. Please reach out to us, here: [URL] ^YP",2725843,Mon Nov 20 13:12:41 +0000 2017,,,,
246364,f9bf581665aae67569291eb70ca6735e41524ed727789a28e857e18d695a5869,[USER] I'm so confused the [USER] butterfly limited vinyl says the UK is released tomorrow yet America is 20th will I still get,[USER] Hi - which Amazon site did you order the album from? ^DO,246362,Thu Oct 05 15:38:15 +0000 2017,,,,
